58,30
58,30
57,30
53,30
R,30
55,30
57,30
58,60
57,60
53,45
55,45
57,30
R,100
R,100
R,100
R,100
R,100
R,10
58,30
58,30
57,30
58,30
R,30
58,30
60,30
62,60
65,60
67,45
65,45
65,30
R,100
R,100
R,100
R,60
67,30
67,30
65,30
67,30
R,30
65,15
62,100
62,20
R,100
R,95
57,30
57,30
55,30
57,30
R,100
R,100
R,100
R,100
R,100
R,10
67,30
67,30
65,30
67,30
R,30
67,30
65,30
67,30
69,30
67,30
65,30
67,60
R,90
67,30
67,30
65,30
67,30
69,30
67,30
65,30
67,30
67,30
67,30
60,30
60,30
R,30
60,30
60,30
67,30
67,30
67,30
67,30
69,30
R,30
65,30
65,30
67,30
67,30
R,30
69,30
R,30
65,30
65,30
65,30
67,30
67,30
67,30
67,30
69,30
R,30
65,30
65,30
67,30
67,30
R,30
67,30
69,30
67,30
65,30
65,30
R,30
69,30
65,30
R,30
69,30
65,30
R,90
67,30
67,30
65,30
67,30
69,30
67,30
65,30
R,30
69,30
65,30
R,30
69,30
65,60
R,90
67,30
65,30
67,30
69,30
67,30
62,30
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,40
58,30
57,30
R,100
R,80
60,30
57,30
R,100
R,100
R,100
R,100
R,100
R,10
58,30
57,30
R,30
53,30
R,30
55,30
57,30
58,60
57,60
53,45
55,45
57,30
R,100
R,100
R,100
R,100
R,100
R,10
67,30
67,30
65,30
67,30
69,30
67,30
65,30
60,60
62,90
67,30
65,30
65,30
R,30
67,30
69,100
69,80
R,100
R,80
67,30
65,30
R,30
67,30
67,30
65,30
67,30
R,30
67,30
65,30
67,30
69,30
67,30
65,30
67,60
R,90
67,30
67,30
65,30
67,30
69,30
67,30
65,30
67,30
67,30
67,30
60,30
60,30
R,30
60,30
60,30
67,30
67,30
67,30
67,30
69,30
R,30
65,30
65,30
67,30
67,30
R,30
69,30
R,30
65,30
65,30
65,30
67,30
67,30
67,30
67,30
69,30
R,30
65,30
65,30
67,30
67,30
R,30
67,30
69,30
67,30
65,30
65,30
R,30
69,30
65,30
R,30
69,30
65,30
R,90
67,30
67,30
65,30
67,30
69,30
67,30
65,30
R,30
69,30
65,30
R,30
69,30
65,60
R,100
R,20
60,60
R,30
60,30
60,30
67,30
67,30
67,30
67,30
69,30
R,30
65,30
65,30
67,30
67,30
R,30
69,30
R,30
65,30
65,30
65,30
67,30
67,30
67,30
67,30
69,30
R,30
65,30
65,30
67,30
67,30
R,30
67,30
69,30
67,30
65,30
65,30
R,30
69,30
65,30
R,30
69,30
65,30
R,90
67,30
67,30
65,30
67,30
69,30
67,30
65,30
R,30
69,30
65,30
R,30
69,30
65,60
R,90
67,30
65,30
67,30
69,30
67,30
62,30
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,10
65,30
64,30
65,30
64,30
62,30
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,100
67,30
65,30
R,30
67,30
67,30
65,30
67,30
R,30
67,30
65,30
67,30
69,30
67,30
65,30
67,60
R,90
67,30
67,30
65,30
67,30
69,30
67,30
65,30
67,30
67,30
67,30
60,30
60,30
R,30
60,30
60,30
67,30
67,30
67,30
67,30
69,30
R,30
65,30
65,30
67,30
67,30
R,30
69,30
R,30
65,30
65,30
65,30
67,30
67,30
67,30
67,30
69,30
R,30
65,30
65,30
67,30
67,30
R,30
67,30
69,30
67,30
65,30
65,30
R,30
69,30
65,30
R,30
69,30
65,30
R,90
67,30
67,30
65,30
67,30
69,30
67,30
65,30
R,30
69,30
65,30
R,30
69,30
65,30
R,30
69,30
72,60
69,30
67,30
65,30
R,30
60,30
60,30
67,30
67,30
67,30
67,30
69,30
R,30
65,30
65,30
67,30
67,30
R,30
69,30
R,30
65,30
65,30
65,30
67,30
67,30
67,30
67,30
69,30
R,30
65,30
65,30
67,30
67,30
R,30
67,30
69,30
67,30
65,30
65,30
R,30
69,30
65,30
R,30
69,30
65,30
R,90
67,30
67,30
65,30
67,30
69,30
67,30
65,30
R,30
69,30
65,30
R,30
69,30
65,60
R,100
R,20
60,60
R,30
60,30
60,30
67,30
67,30
67,30
67,30
69,30
R,30
65,30
65,30
67,30
67,30
R,30
69,30
R,30
65,30
65,30
65,30
67,30
67,30
67,30
67,30
69,30
R,30
65,30
65,30
67,30
67,30
R,30
67,30
69,30
67,30
65,30
65,30
R,30
69,30
65,30
R,30
69,30
65,30
R,90
67,30
67,30
65,30
67,30
69,30
67,30
65,30
R,30
69,30
65,30
R,30
69,30
65,60
R,90
67,30
65,30
67,30
69,30
67,30
65,30
R,100
R,100
R,100
R,100
R,100
R,100
R,100
R,20
64,30
65,30
65,30
72,100
72,20
R,100
R,100
R,70
64,30
65,30
65,30
72,100
72,20
R,100
R,100
R,70
64,30
65,60
R,90
65,30
64,30
64,30
65,30
65,30
65,30
65,30
R,30
65,30
60,30
64,30
65,30
R,30
65,30
R,30
65,30
65,30
60,30
64,30
65,30
65,30
65,30
65,30
R,30
65,30
60,30
64,30
65,30
R,30
65,30
R,30
67,30
65,30
65,30
R,30
67,30
67,30
R,30
67,30
65,30
R,90
67,30
67,30
R,30
67,30
65,30
R,90
69,30
65,30
R,30
69,30
65,30
R,100
R,20
67,60
65,60
64,60
64,30
65,100
65,20
R,100
R,100
R,70
65,30
65,30
67,30
67,30
67,30
67,30
69,30
R,100
R,100
R,10
70,30
69,30
67,30
65,30
62,90
R,100
R,100
R,70
70,30
69,30
67,30
65,30
