0,100
0,100
0,100
0,100
-5,80
3,80
-1,80
R,48
-12,20
3,20
0,40
0,35
R,6
2,37
R,3
-5,40
0,40
0,40
R,24
-4,20
5,20
2,20
0,20
0,20
0,20
0,20
2,40
-5,40
0,40
0,40
1,78
R,2
-1,76
R,5
-7,40
R,100
0,100
0,100
0,100
0,100
0,76
7,20
3,20
0,20
0,20
0,20
0,20
2,40
-5,40
0,40
R,72
-4,20
4,20
3,20
0,20
0,20
0,20
0,20
2,40
-5,40
0,40
0,40
1,79
R,1
-1,76
R,5
-7,40
R,100
0,44
7,19
R,1
1,18
R,2
-1,76
R,5
-4,40
R,100
0,60
19,100
0,100
0,100
0,100
-5,80
3,80
-1,80
R,35
-11,5
R,1
2,40
0,20
0,20
0,20
0,20
2,40
-5,40
0,40
-9,20
0,20
12,40
0,40
0,20
0,20
0,20
0,20
2,40
-5,40
0,40
0,40
1,60
-1,60
-7,40
R,100
0,100
0,100
0,100
0,100
0,100
5,20
2,20
3,20
0,27
0,27
0,27
2,40
-5,40
0,40
R,72
-4,20
4,20
3,20
0,40
0,40
2,40
-5,40
0,60
0,20
1,39
R,1
-1,76
R,5
-7,40
R,100
0,100
0,100
0,100
0,100
0,100
11,20
1,40
3,40
-3,20
3,40
0,32
-3,9
-2,40
0,20
0,20
0,20
R,96
5,19
R,1
-3,37
R,3
7,39
R,1
-2,100
0,33
R,33
-7,20
5,20
-3,15
1,4
R,1
2,37
R,3
0,20
-3,20
3,20
0,60
-5,20
0,20
0,40
R,48
5,37
R,3
0,20
-3,38
R,2
7,37
R,3
-2,58
R,2
0,72
R,3
-7,5
R,1
2,38
R,2
3,40
0,20
0,20
-3,20
3,40
0,55
-5,4
R,2
2,40
R,48
0,20
3,40
0,40
0,38
R,27
2,40
-5,20
0,18
R,2
-2,38
R,3
-2,40
-1,80
R,72
-2,20
0,80
R,48
-2,40
2,18
R,2
2,57
R,100
0,100
0,92
-4,20
0,20
0,20
4,69
R,3
1,38
R,27
-2,20
-1,20
2,60
-2,80
R,96
-7,20
7,40
0,40
2,20
-4,20
0,20
0,40
19,100
0,100
0,100
0,100
-5,80
3,80
-1,80
R,24
-14,20
2,20
3,20
0,20
0,20
0,35
R,6
2,40
-5,40
0,40
-2,20
-2,20
4,20
3,20
0,40
0,40
0,20
2,20
-5,20
0,40
0,60
0,40
0,18
R,2
1,17
R,3
-1,76
R,5
-7,100
0,20
R,100
0,100
0,100
0,100
0,100
0,4
5,15
3,4
R,2
2,40
0,20
0,20
0,20
0,18
R,2
2,18
R,2
-5,19
R,2
0,40
0,40
R,72
-2,20
3,20
2,20
0,40
0,20
2,20
-5,40
0,80
R,24
-9,20
9,18
R,2
1,18
R,2
-1,40
0,36
R,5
-7,100
0,20
R,100
0,100
0,100
0,100
0,100
0,4
11,20
1,40
3,40
-3,20
3,40
0,32
-3,7
R,2
-2,40
0,20
0,20
0,20
R,96
5,18
R,2
-3,38
R,2
7,34
R,6
-2,100
0,33
R,33
-7,20
5,20
-3,15
1,4
R,2
2,40
0,20
-3,20
3,20
0,60
-5,20
0,20
0,40
R,48
5,40
0,19
R,1
-3,40
7,36
R,4
-2,60
0,72
R,3
-7,4
R,2
2,38
R,2
3,40
0,20
0,20
-3,18
R,2
3,40
0,55
-5,4
R,2
2,40
R,48
0,18
R,2
3,40
0,40
0,38
R,27
2,40
-5,20
0,18
R,2
-2,38
R,3
-2,40
-1,80
R,72
-2,20
0,80
R,48
-2,40
2,17
R,3
2,57
R,100
0,100
0,92
-4,20
0,20
0,15
2,4
R,3
2,70
R,2
1,38
R,27
-2,18
R,2
-1,18
R,2
2,59
R,1
-2,80
R,96
-7,20
7,40
0,40
2,20
-4,20
0,20
0,100
0,20
R,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,20
11,40
1,55
2,3
R,3
2,75
-7,4
R,2
-5,40
0,20
3,60
R,48
-3,20
3,40
0,40
-5,18
R,2
5,20
-3,20
3,20
0,18
R,2
-2,19
R,2
0,16
R,4
-1,19
R,2
0,20
R,48
3,75
7,5
R,1
2,75
-7,5
R,1
-5,40
0,20
3,80
-7,20
4,40
3,20
0,40
-2,20
R,48
-1,40
1,20
2,40
-2,40
-1,46
R,2
-4,57
R,28
11,40
1,20
0,20
-1,40
-2,20
0,19
R,2
-2,50
-3,10
3,40
0,40
R,24
-5,20
9,40
1,20
-1,40
-4,80
-7,15
2,5
R,1
2,40
0,20
0,17
R,3
-2,38
R,3
0,40
R,100
0,44
2,40
1,60
-1,100
0,40
-4,100
0,20
R,100
0,100
0,100
0,100
0,100
0,4
8,20
1,40
3,40
-3,20
3,40
0,32
-3,7
R,3
-2,40
0,20
0,20
0,20
R,96
5,20
-3,40
7,36
R,4
-2,100
0,33
R,33
-7,20
5,20
-3,15
1,4
R,1
2,40
0,20
-3,17
R,3
3,20
0,60
-5,20
0,20
0,40
R,48
5,40
0,20
-3,40
7,39
R,1
-2,60
0,72
R,3
-7,5
R,1
2,38
R,2
3,40
0,20
0,20
-3,20
3,40
0,55
-5,4
R,1
2,40
R,48
0,20
3,40
0,40
0,38
R,27
2,40
-5,20
0,18
R,2
-2,38
R,3
-2,40
-1,80
R,48
1,17
R,3
-1,19
R,2
-2,80
R,48
-2,40
2,18
R,2
2,57
R,100
0,100
0,92
-4,20
0,20
0,20
4,71
R,1
1,38
R,27
4,20
-2,12
-5,8
R,2
2,58
R,2
-2,80
R,96
-7,20
7,40
0,40
2,20
-4,20
0,20
0,100
0,20
R,100
0,60
2,17
R,3
3,59
R,1
-1,100
0,14
R,100
0,100
0,48
-4,20
0,20
0,15
2,5
R,1
2,70
R,2
1,38
R,27
-5,20
0,15
2,4
R,2
2,60
-2,80
R,96
-7,20
7,40
0,40
2,20
-4,20
0,20
0,80
